comment,cleaning,normalisasi,tokenize,stopword
apakah gaji progamer akan turun ?,apakah gaji progamer akan turun,apakah gaji progamer akan turun,"['apakah', 'gaji', 'progamer', 'akan', 'turun']",gaji progamer turun
"Tetep aja semua bertumpu pada industri semi conductor  kalo mau bicara global dan masa depan, kemajuan tehnologi tidak akan terjadi apabila tidak ada kemajuan industri semi konduktor. Mau bikin ai mau nerbangin roket mau bikin robot paling canggih semua bertumpu pada industri semi konduktor.",tetep aja semua bertumpu pada industri semi conductor kalo mau bicara global dan masa depan kemajuan tehnologi tidak akan terjadi apabila tidak ada kemajuan industri semi konduktor mau bikin ai mau nerbangin roket mau bikin robot paling canggih semua bertumpu pada industri semi konduktor,tetap saja semua bertumpu pada industri semi conductor kalau mau bicara global dan masa depan kemajuan tehnologi tidak akan terjadi apabila tidak ada kemajuan industri semi konduktor mau bikin artificialintelligence mau nerbangin roket mau bikin robot paling canggih semua bertumpu pada industri semi konduktor,"['tetap', 'saja', 'semua', 'bertumpu', 'pada', 'industri', 'semi', 'conductor', 'kalau', 'mau', 'bicara', 'global', 'dan', 'masa', 'depan', 'kemajuan', 'tehnologi', 'tidak', 'akan', 'terjadi', 'apabila', 'tidak', 'ada', 'kemajuan', 'industri', 'semi', 'konduktor', 'mau', 'bikin', 'artificialintelligence', 'mau', 'nerbangin', 'roket', 'mau', 'bikin', 'robot', 'paling', 'canggih', 'semua', 'bertumpu', 'pada', 'industri', 'semi', 'konduktor']",bertumpu industri semi conductor bicara global kemajuan tehnologi kemajuan industri semi konduktor bikin artificialintelligence nerbangin roket bikin robot canggih bertumpu industri semi konduktor
Tapi ai sangat terbatas. Buktinya gw tanyain flowgartim aja salah. Dia ga ngerti declare intreger. Itu baru dasar belum c++ java. Lebih nyata programer bakal banyak dan sangat kasian persaingan tidak sehat requirement setinggi tingginya tapi upah nampaknya tidak sebanding susahnya. Itu yang saya takut sih,tapi ai sangat terbatas buktinya gw tanyain flowgartim aja salah dia ga ngerti declare intreger itu baru dasar belum c java lebih nyata programer bakal banyak dan sangat kasian persaingan tidak sehat requirement setinggi tingginya tapi upah nampaknya tidak sebanding susahnya itu yang saya takut sih,tapi artificialintelligence sangat terbatas buktinya gue tanyakan flowgartim saja salah dia tidak mengerti declare intreger itu baru dasar belum sih java lebih nyata programmer bakal banyak dan sangat kasihan persaingan tidak sehat requirement setinggi tingginya tapi upah nampaknya tidak sebanding susahnya itu yang saya takut sih,"['tapi', 'artificialintelligence', 'sangat', 'terbatas', 'buktinya', 'gue', 'tanyakan', 'flowgartim', 'saja', 'salah', 'dia', 'tidak', 'mengerti', 'declare', 'intreger', 'itu', 'baru', 'dasar', 'belum', 'sih', 'java', 'lebih', 'nyata', 'programmer', 'bakal', 'banyak', 'dan', 'sangat', 'kasihan', 'persaingan', 'tidak', 'sehat', 'requirement', 'setinggi', 'tingginya', 'tapi', 'upah', 'nampaknya', 'tidak', 'sebanding', 'susahnya', 'itu', 'yang', 'saya', 'takut', 'sih']",artificialintelligence terbatas buktinya gue flowgartim salah mengerti declare intreger dasar sih java nyata programmer kasihan persaingan sehat requirement tingginya upah nampaknya sebanding susahnya takut sih
Cuman mempermudahkan bukan menghilang kan?. Kalo gitu masih perlu keahlian coding juga,cuman mempermudahkan bukan menghilang kan kalo gitu masih perlu keahlian coding juga,cuman mempermudahkan bukan menghilang kan kalau begitu masih perlu keahlian coding juga,"['cuman', 'mempermudahkan', 'bukan', 'menghilang', 'kan', 'kalau', 'begitu', 'masih', 'perlu', 'keahlian', 'coding', 'juga']",cuman mempermudahkan menghilang keahlian coding
"AI Aja Dibuat Dari Bahasa Program Jadi Kalo Kalian Cape-cape Belajar Pemograman Mendingan Kalo Cari Kerja, Kerjanya Untuk Program AI Aja",ai aja dibuat dari bahasa program jadi kalo kalian cape cape belajar pemograman mendingan kalo cari kerja kerjanya untuk program ai aja,artificialintelligence saja dibuat dari bahasa program jadi kalau kalian capek capek belajar pemograman mendingan kalau cari kerja kerjanya untuk program artificialintelligence saja,"['artificialintelligence', 'saja', 'dibuat', 'dari', 'bahasa', 'program', 'jadi', 'kalau', 'kalian', 'capek', 'capek', 'belajar', 'pemograman', 'mendingan', 'kalau', 'cari', 'kerja', 'kerjanya', 'untuk', 'program', 'artificialintelligence', 'saja']",artificialintelligence bahasa program capek capek belajar pemograman mendingan cari kerja kerjanya program artificialintelligence
Yang jelas AI sangat ngebantu gw untuk ngoding,yang jelas ai sangat ngebantu gw untuk ngoding,yang jelas artificialintelligence sangat membantu gue untuk coding,"['yang', 'jelas', 'artificialintelligence', 'sangat', 'membantu', 'gue', 'untuk', 'coding']",artificialintelligence membantu gue coding
"yep, gw juga yang pada awalnya gak ngerti koding sama sekali tapi berkat AI gw ketolong dari segi efisiensi karena gaperlu hafalin syntax yang tentu gw gabisa hafalin.",yep gw juga yang pada awalnya gak ngerti koding sama sekali tapi berkat ai gw ketolong dari segi efisiensi karena gaperlu hafalin syntax yang tentu gw gabisa hafalin,ya gue juga yang pada awalnya tidak mengerti koding sama sekali tapi berkat artificialintelligence gue ketolong dari segi efisiensi karena gaperlu hafalin syntax yang tentu gue hafalin,"['ya', 'gue', 'juga', 'yang', 'pada', 'awalnya', 'tidak', 'mengerti', 'koding', 'sama', 'sekali', 'tapi', 'berkat', 'artificialintelligence', 'gue', 'ketolong', 'dari', 'segi', 'efisiensi', 'karena', 'gaperlu', 'hafalin', 'syntax', 'yang', 'tentu', 'gue', 'hafalin']",ya gue mengerti koding berkat artificialintelligence gue ketolong segi efisiensi gaperlu hafalin syntax gue hafalin
Kemarin ada tawaran freelance dan deadline bisa dibilang cuma 5 hari. Gw ga tau emang habbitnya pake AI atau emang gara² deadline makannya pake AI.<br><br>Slicing dari Figma di convert ke html dengan plugin dari figma terus tinggal copas ke kodingan. Sebagai seorang FE ngerasa ini ga ada seni nya bagi programmer. Anak TK juga bisa ngelakuin kaya gitu 😅,kemarin ada tawaran freelance dan deadline bisa dibilang cuma hari gw ga tau emang habbitnya pake ai atau emang gara deadline makannya pake ai slicing dari figma di convert ke html dengan plugin dari figma terus tinggal copas ke kodingan sebagai seorang fe ngerasa ini ga ada seni nya bagi programmer anak tk juga bisa ngelakuin kaya gitu,kemarin ada tawaran freelance dan deadline bisa dibilang cuma hari gue tidak tau memang habbitnya pakai artificialintelligence atau memang gara deadline makannya pakai artificialintelligence slicing dari figma di convert ke html dengan plugin dari figma terus tinggal copas ke kodingan sebagai seorang fe merasa ini tidak ada seni ya bagi programmer anak tak juga bisa melakukan kayak begitu,"['kemarin', 'ada', 'tawaran', 'freelance', 'dan', 'deadline', 'bisa', 'dibilang', 'cuma', 'hari', 'gue', 'tidak', 'tau', 'memang', 'habbitnya', 'pakai', 'artificialintelligence', 'atau', 'memang', 'gara', 'deadline', 'makannya', 'pakai', 'artificialintelligence', 'slicing', 'dari', 'figma', 'di', 'convert', 'ke', 'html', 'dengan', 'plugin', 'dari', 'figma', 'terus', 'tinggal', 'copas', 'ke', 'kodingan', 'sebagai', 'seorang', 'fe', 'merasa', 'ini', 'tidak', 'ada', 'seni', 'ya', 'bagi', 'programmer', 'anak', 'tak', 'juga', 'bisa', 'melakukan', 'kayak', 'begitu']",kemarin tawaran freelance deadline dibilang gue tau habbitnya pakai artificialintelligence gara deadline makannya pakai artificialintelligence slicing figma convert html plugin figma tinggal copas kodingan fe seni ya programmer anak kayak
"jadinya hampir semua pekerja teknical akan di ambil oleh AI namun tidak dengan Science. kan AI butuh Science dari Manusia. Manusia yang konsepkan hingga ide implementasi, di ajarilah AI untuk konteks teknikal. <br>memang beda ciri negri super maju yang berperadaban dan bukan berperadapan. negri super maju sangat, sangat, sangat butuh scientists, ilmuan dan cendikiawan, namun sebaliknya negri kurang beradap nyari preman untuk jadi pejabat tuk di control.",jadinya hampir semua pekerja teknical akan di ambil oleh ai namun tidak dengan science kan ai butuh science dari manusia manusia yang konsepkan hingga ide implementasi di ajarilah ai untuk konteks teknikal memang beda ciri negri super maju yang berperadaban dan bukan berperadapan negri super maju sangat sangat sangat butuh scientists ilmuan dan cendikiawan namun sebaliknya negri kurang beradap nyari preman untuk jadi pejabat tuk di control,jadinya hampir semua pekerja teknical akan di ambil oleh artificialintelligence namun tidak dengan science kan artificialintelligence butuh science dari manusia manusia yang konsepkan hingga ide implementasi di ajarilah artificialintelligence untuk konteks teknikal memang beda ciri negeri super maju yang berperadaban dan bukan berperadapan negeri super maju sangat sangat sangat butuh scientists ilmuan dan cendikiawan namun sebaliknya negeri kurang beradap mencari preman untuk jadi pejabat untuk di control,"['jadinya', 'hampir', 'semua', 'pekerja', 'teknical', 'akan', 'di', 'ambil', 'oleh', 'artificialintelligence', 'namun', 'tidak', 'dengan', 'science', 'kan', 'artificialintelligence', 'butuh', 'science', 'dari', 'manusia', 'manusia', 'yang', 'konsepkan', 'hingga', 'ide', 'implementasi', 'di', 'ajarilah', 'artificialintelligence', 'untuk', 'konteks', 'teknikal', 'memang', 'beda', 'ciri', 'negeri', 'super', 'maju', 'yang', 'berperadaban', 'dan', 'bukan', 'berperadapan', 'negeri', 'super', 'maju', 'sangat', 'sangat', 'sangat', 'butuh', 'scientists', 'ilmuan', 'dan', 'cendikiawan', 'namun', 'sebaliknya', 'negeri', 'kurang', 'beradap', 'mencari', 'preman', 'untuk', 'jadi', 'pejabat', 'untuk', 'di', 'control']",pekerja teknical ambil artificialintelligence science artificialintelligence butuh science manusia manusia konsepkan ide implementasi ajarilah artificialintelligence konteks teknikal beda ciri negeri super maju berperadaban berperadapan negeri super maju butuh scientists ilmuan cendikiawan negeri beradap mencari preman pejabat control
"konteks belajar koding di masa depan itu untuk mengerti bagaimana algoritma kodenya saja, namun kalau bisa nandingin AI buat sintax, loe sakti lah.",konteks belajar koding di masa depan itu untuk mengerti bagaimana algoritma kodenya saja namun kalau bisa nandingin ai buat sintax loe sakti lah,konteks belajar koding di masa depan itu untuk mengerti bagaimana algoritma kodenya saja namun kalau bisa nandingin artificialintelligence buat sintax lo sakti lah,"['konteks', 'belajar', 'koding', 'di', 'masa', 'depan', 'itu', 'untuk', 'mengerti', 'bagaimana', 'algoritma', 'kodenya', 'saja', 'namun', 'kalau', 'bisa', 'nandingin', 'artificialintelligence', 'buat', 'sintax', 'lo', 'sakti', 'lah']",konteks belajar koding mengerti algoritma kodenya nandingin artificialintelligence sintax lo sakti
"Dari dulu kalau kita menolak teknologi pasti kita akan ketinggalan. Seperti dulu saat ada automasi pabrik walaupun banyak phk tetapi membuka lapangan pekerjaan yang lebih besar dimana maintenance mesin automasi dan sparepart akan dibutuhkan. Kedepanya kalau kita menolak AI baik dalam dunia kerja maupun dunia pendidikan, kita akan ketinggalan lagi dibanding negara lain.",dari dulu kalau kita menolak teknologi pasti kita akan ketinggalan seperti dulu saat ada automasi pabrik walaupun banyak phk tetapi membuka lapangan pekerjaan yang lebih besar dimana maintenance mesin automasi dan sparepart akan dibutuhkan kedepanya kalau kita menolak ai baik dalam dunia kerja maupun dunia pendidikan kita akan ketinggalan lagi dibanding negara lain,dari dulu kalau kita menolak teknologi pasti kita akan ketinggalan seperti dulu saat ada automasi pabrik walaupun banyak phk tetapi membuka lapangan pekerjaan yang lebih besar dimana maintenance mesin automasi dan sparepart akan dibutuhkan kedepanya kalau kita menolak artificialintelligence baik dalam dunia kerja maupun dunia pendidikan kita akan ketinggalan lagi dibanding negara lain,"['dari', 'dulu', 'kalau', 'kita', 'menolak', 'teknologi', 'pasti', 'kita', 'akan', 'ketinggalan', 'seperti', 'dulu', 'saat', 'ada', 'automasi', 'pabrik', 'walaupun', 'banyak', 'phk', 'tetapi', 'membuka', 'lapangan', 'pekerjaan', 'yang', 'lebih', 'besar', 'dimana', 'maintenance', 'mesin', 'automasi', 'dan', 'sparepart', 'akan', 'dibutuhkan', 'kedepanya', 'kalau', 'kita', 'menolak', 'artificialintelligence', 'baik', 'dalam', 'dunia', 'kerja', 'maupun', 'dunia', 'pendidikan', 'kita', 'akan', 'ketinggalan', 'lagi', 'dibanding', 'negara', 'lain']",menolak teknologi ketinggalan automasi pabrik phk membuka lapangan pekerjaan dimana maintenance mesin automasi sparepart dibutuhkan kedepanya menolak artificialintelligence dunia kerja dunia pendidikan ketinggalan dibanding negara
satu hal yang tidak dimiliki AI adalah Empati....dimana hal ini sangat dibutuhkan untuk design thinking untuk melakkukan problem solving,satu hal yang tidak dimiliki ai adalah empati dimana hal ini sangat dibutuhkan untuk design thinking untuk melakkukan problem solving,satu hal yang tidak dimiliki artificialintelligence adalah empati dimana hal ini sangat dibutuhkan untuk design thinking untuk melakkukan problem solving,"['satu', 'hal', 'yang', 'tidak', 'dimiliki', 'artificialintelligence', 'adalah', 'empati', 'dimana', 'hal', 'ini', 'sangat', 'dibutuhkan', 'untuk', 'design', 'thinking', 'untuk', 'melakkukan', 'problem', 'solving']",dimiliki artificialintelligence empati dimana dibutuhkan design thinking melakkukan problem solving
"Ngebantu bgt sh,  apalg yg g expert dan logic nya so so, tp AI g solutif 100 persen koq tetep harus di test lg jawaban2ny dan g langsung pasti bener",ngebantu bgt sh apalg yg g expert dan logic nya so so tp ai g solutif persen koq tetep harus di test lg jawaban ny dan g langsung pasti bener,membantu banget sh apalagi yang tidak expert dan logic ya sok sok tapi artificialintelligence tidak solutif persen kok tetap harus di test lagi jawaban nya dan tidak langsung pasti benar,"['membantu', 'banget', 'sh', 'apalagi', 'yang', 'tidak', 'expert', 'dan', 'logic', 'ya', 'sok', 'sok', 'tapi', 'artificialintelligence', 'tidak', 'solutif', 'persen', 'kok', 'tetap', 'harus', 'di', 'test', 'lagi', 'jawaban', 'nya', 'dan', 'tidak', 'langsung', 'pasti', 'benar']",membantu banget sh expert logic ya sok sok artificialintelligence solutif persen test nya langsung
"AI mempermudah, tetap butuh  manusia. Karena hanya manusia yang bisa memahami kemauan manusia. <br><br>Tau sendiri kan kemauan client kaya apa. Revisi ini itu berkali-kali ga taunya acc nya yg proposal awal",ai mempermudah tetap butuh manusia karena hanya manusia yang bisa memahami kemauan manusia tau sendiri kan kemauan client kaya apa revisi ini itu berkali kali ga taunya acc nya yg proposal awal,artificialintelligence mempermudah tetap butuh manusia karena hanya manusia yang bisa memahami kemauan manusia tau sendiri kan kemauan client kayak apa revisi ini itu berkali kali tidak taunya acc ya yang proposal awal,"['artificialintelligence', 'mempermudah', 'tetap', 'butuh', 'manusia', 'karena', 'hanya', 'manusia', 'yang', 'bisa', 'memahami', 'kemauan', 'manusia', 'tau', 'sendiri', 'kan', 'kemauan', 'client', 'kayak', 'apa', 'revisi', 'ini', 'itu', 'berkali', 'kali', 'tidak', 'taunya', 'acc', 'ya', 'yang', 'proposal', 'awal']",artificialintelligence mempermudah butuh manusia manusia memahami kemauan manusia tau kemauan client kayak revisi berkali kali taunya acc ya proposal
"Emang sih kalo kita bikin aplikasi ngebantu banget yang tadinya 24jam kita buat kodingan sekarang hanya 3 menit, cukup kasih penjelasan yang ingin kita buat nanti akan langsung buat aplikasinya. Apalagi klo ada error bisa langsung ada solusinya. Jd saran gw kalo mau pake AI harus lebih jelas ngejelasinya.",emang sih kalo kita bikin aplikasi ngebantu banget yang tadinya jam kita buat kodingan sekarang hanya menit cukup kasih penjelasan yang ingin kita buat nanti akan langsung buat aplikasinya apalagi klo ada error bisa langsung ada solusinya jd saran gw kalo mau pake ai harus lebih jelas ngejelasinya,memang sih kalau kita bikin aplikasi membantu banget yang tadinya jam kita buat kodingan sekarang hanya menit cukup kasih penjelasan yang ingin kita buat nanti akan langsung buat aplikasinya apalagi kalau ada error bisa langsung ada solusinya jadi saran gue kalau mau pakai artificialintelligence harus lebih jelas ngejelasinya,"['memang', 'sih', 'kalau', 'kita', 'bikin', 'aplikasi', 'membantu', 'banget', 'yang', 'tadinya', 'jam', 'kita', 'buat', 'kodingan', 'sekarang', 'hanya', 'menit', 'cukup', 'kasih', 'penjelasan', 'yang', 'ingin', 'kita', 'buat', 'nanti', 'akan', 'langsung', 'buat', 'aplikasinya', 'apalagi', 'kalau', 'ada', 'error', 'bisa', 'langsung', 'ada', 'solusinya', 'jadi', 'saran', 'gue', 'kalau', 'mau', 'pakai', 'artificialintelligence', 'harus', 'lebih', 'jelas', 'ngejelasinya']",sih bikin aplikasi membantu banget jam kodingan menit kasih penjelasan langsung aplikasinya error langsung solusinya saran gue pakai artificialintelligence ngejelasinya
